file,event,length,width,tracesum,tracemax,tracedev,padnum
273_800p.h5,0,13.552793785958071,1.6659174547822855,145585.275390625,16699.07143369298,3320.2094018841217,22
273_800p.h5,1,13.56204491056752,1.2655369070145905,153328.56640625,16418.206695417975,3342.7156324221596,22
273_800p.h5,2,13.629880911082866,4.8882552078431205,144323.59570312503,14222.31306609021,3139.9012618135453,25
273_800p.h5,3,13.792896584387064,1.5469516257269043,146654.8828125,18285.89823815777,3461.993089505195,35
273_800p.h5,4,13.710130418696401,1.074840843535793,152664.15625,15062.679494005875,3220.085563426994,34
273_800p.h5,5,13.782036338354583,1.5266807497604762,146701.92578125,13013.194257557074,2996.113714312557,26
273_800p.h5,6,13.568868945777625,6.148804551127677,149171.35546875,14577.796795020302,3111.4016283623764,32
273_800p.h5,7,13.513581725799689,5.813528536788097,150287.21875,15366.610381404525,3254.39537674375,30
273_800p.h5,8,13.638091208924703,1.4829146790815497,150624.17578125,10704.033460095503,2732.5862693196045,20
273_800p.h5,9,13.594466946478121,0.7038950697934926,144787.11718749997,18249.923838144998,3468.724522067944,41
273_800p.h5,10,13.594457617980842,1.2381513965995166,151164.57226562503,18747.55811728032,3682.3155696441604,17
273_800p.h5,11,13.622866771976602,1.4178620749318223,143418.08984375,12671.791584159191,2897.3576272302353,25
273_800p.h5,12,13.78739199902714,5.370290272433472,147670.29687499997,22912.98126967128,3986.6923863554116,33
273_800p.h5,13,13.783677525944046,6.109959205748433,145083.60546874997,21036.5131691613,3772.018245254249,36
273_800p.h5,14,13.771955882945967,5.311661593073466,149039.39453125,16467.086848254152,3311.9627454771407,26
273_800p.h5,15,13.653433596345556,2.6741557511770213,147552.09375,24289.85093697296,4143.853464404728,16
273_800p.h5,16,13.752231728924874,6.306265065587821,146548.44140625,22817.03408441783,3984.2046953355666,40
273_800p.h5,17,13.578259784643809,5.043812166886893,149856.171875,16500.036965156305,3285.915361307849,26
