file,event,length,width,depth,tracesum,tracemax,tracedev,padnum
1200p.h5,0,21.1310429180868,6.571122185969346,3.7166083914387213,129903.95014627489,7723.651276718969,2012.5371712485241,86
1200p.h5,1,24.28776348035568,6.418696626074404,2.2817317830696644,129446.91750014864,7880.46519890258,2034.2220375262773,84
1200p.h5,2,25.553696313850818,5.817853356220302,2.7942853609239586,130443.79486828054,7820.231763610891,2031.538879688089,84
1200p.h5,3,23.027059861467905,6.337397506581849,4.081461712686933,129866.40675293212,9400.732296489232,2243.8799990650296,84
1200p.h5,4,23.002762596582237,6.236722845071254,3.745829762821356,130047.30689635604,9902.219117783012,2312.636874504223,88
1200p.h5,5,22.372233270137734,6.30901420106431,4.04151013573353,130213.45711791108,9558.671336624955,2266.338761972364,82
1200p.h5,6,23.604591385076333,6.3580255239939625,4.071747958166265,130382.99596432243,9300.94377535344,2236.754728347769,85
1200p.h5,7,23.365322235097185,6.00766522946322,2.88649534301703,130202.69307207651,9634.684208714956,2277.1405469308484,82
1200p.h5,8,23.454538769307046,6.373500811597466,4.212806080073145,130269.34392570663,9626.019484867484,2280.737188096963,86
1200p.h5,9,24.122852335800555,6.091404661605241,2.133329073385874,130246.60571823639,7645.493521611384,2007.2971443235601,85
1200p.h5,10,24.525925891792948,6.1247556915870085,4.588259212664275,129333.45608696269,9689.23616385463,2278.4913706615544,86
1200p.h5,11,23.058381391761984,6.277540647164879,4.956467648819603,129920.30757686269,9810.053456613901,2303.3111003479958,85
1200p.h5,12,23.956385844490356,6.252854273388695,4.165800162848433,130008.90777649471,9620.702339286288,2276.457891772163,86
1200p.h5,13,24.409101079633114,5.926399658351174,4.4427892321399485,129883.79749818935,9334.070195625824,2240.7064858362382,82
1200p.h5,14,23.91395436973645,6.434108421266279,2.519810244133836,129892.54678842323,8215.929035183128,2083.025573033742,84
1200p.h5,15,24.450678508330085,6.177963526653978,3.9650962040231916,130117.38889658588,9782.592054188404,2295.7824358963308,85
1200p.h5,16,24.306140116050507,5.753000259278693,2.356236683196713,130027.7794782329,8957.574074202721,2188.3739817239407,80
1200p.h5,17,23.621605210026836,5.926186380934711,3.1868195668095405,129607.7399165364,9624.297300616616,2275.4416899989624,87
1200p.h5,18,23.099037707678907,6.008510099189193,2.600278971431027,129507.34838421654,8685.0522646609,2141.2913750924736,82
1200p.h5,19,24.922654757290452,6.092443016479465,3.278832823984733,129744.30655232958,8285.698337121814,2092.0113266820254,83
1200p.h5,20,22.170046903351082,6.0769576151045674,4.476291411027852,130270.82207483433,9657.491694160179,2280.426932442391,86
1200p.h5,21,24.912099203353097,6.3546018617307665,2.6136498458311106,130439.29144598142,8534.57089962132,2131.9559206408944,83
1200p.h5,22,22.48915100692194,6.075245208325257,3.65830382104803,129176.48261696748,9609.753744098325,2271.692871611452,86
1200p.h5,23,22.907321949286654,6.162278481516789,3.976129520393846,129401.55686268467,9784.506800163454,2293.8607808726915,84
1200p.h5,24,24.500893944823495,5.7305016505676045,3.3167010749832055,129975.83566058535,9364.576915390295,2239.9387799472015,84
1200p.h5,25,24.706421032746892,5.8312695442839555,3.0454034471457114,130077.96204236252,7834.263756911383,2034.2568052234703,85
1200p.h5,26,22.792133598352656,6.141907696001335,4.180634738272919,130107.69427005002,9878.09777656613,2312.846450460594,87
1200p.h5,27,23.928367776956886,6.041529037596524,3.692371213628016,130371.17989916717,8950.478291620833,2183.670405255059,83
1200p.h5,28,23.055084212973668,5.701313834448901,3.4631872742887535,130063.4500949029,9441.826676749812,2252.665689746749,86
1200p.h5,29,25.487220463916746,6.405643065951445,2.492497681421401,130367.23542222157,7674.501139406475,2016.7006816804812,84
1200p.h5,30,23.443632886099344,5.801857012296032,4.207840473204684,130161.33364789266,9635.587752334326,2277.7358766190073,86
1200p.h5,31,23.563675297278845,6.275217321222399,3.3495458805310285,129872.78228507849,8968.364865317899,2183.5009146494845,80
1200p.h5,32,23.716359259933217,6.1052582350284235,4.3957657994187995,129917.01826560982,9583.944021266112,2269.7189098621625,84
1200p.h5,33,23.60940658470613,6.3070879674521425,2.7006484601611613,130213.72722062214,7698.531023729106,2017.552580020378,85
1200p.h5,34,23.813463643005104,6.225571972116588,4.481246278243568,129558.3745095149,9620.663019319722,2278.0818956260027,86
1200p.h5,35,23.937726848922598,6.119721945040256,4.940225887319554,129365.70090501703,9376.493796126979,2243.0285681344953,86
1200p.h5,36,22.733437483818992,6.115632059546221,3.3379437112560657,130135.98592019579,9088.833627208945,2206.265883463644,81
1200p.h5,37,23.682055198190263,6.266962939328406,2.8004342684541967,129834.98420468242,9284.823921383695,2230.850909530909,85
1200p.h5,38,23.35623597440877,6.157574076957862,4.066766413285569,130639.90256530535,9762.665714724577,2303.1824777961874,86
1200p.h5,39,23.32620425864278,5.8604240890179975,3.2706869159488066,129769.3831376576,9651.2573141354,2275.0311626802945,85
1200p.h5,40,23.283351372895684,6.030983890497042,3.8598171343458048,130270.43463411613,9778.1108466576,2301.9190588740335,86
